Year,Population,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,total_crime
1960,162540871.0,8642.0,15219.0,87261.0,127204.0,2770689.0,785673.0,1691963.0,293053.0,5779704.0
1961,165923956.0,8115.0,15299.0,86446.0,128436.0,2859039.0,816635.0,1742223.0,300181.0,5956374.0
1962,168418000.0,7893.0,15436.0,89648.0,134498.0,3058865.0,850222.0,1880882.0,327761.0,6365205.0
1963,170825000.0,7939.0,15608.0,94221.0,142346.0,3341570.0,927679.0,2052750.0,361141.0,6943254.0
1964,173419000.0,8536.0,19456.0,104334.0,179129.0,3750313.0,1043547.0,2289914.0,416852.0,7812081.0
1965,193816000.0,9979.0,23494.0,138850.0,215965.0,4364824.0,1284159.0,2583515.0,497150.0,9117936.0
1966,195857000.0,11054.0,25921.0,157854.0,235764.0,4806528.0,1411410.0,2833618.0,561500.0,10043649.0
1967,197864000.0,12248.0,27678.0,202679.0,257419.0,5417559.0,1633461.0,3123919.0,660179.0,11335142.0
1968,199860000.0,13824.0,31725.0,262588.0,287201.0,6140425.0,1859756.0,3496715.0,783954.0,12876188.0
1969,201927000.0,14749.0,37624.0,298609.0,311303.0,6676261.0,1982586.0,3814792.0,878883.0,14014807.0
1970,203184042.0,16006.0,38368.0,349640.0,335228.0,7362862.0,2206314.0,4227764.0,928784.0,15464966.0
1971,206255000.0,17777.0,42227.0,387587.0,369036.0,7773693.0,2400207.0,4425101.0,948385.0,16364013.0
1972,208234000.0,18685.0,46824.0,376315.0,393326.0,7420136.0,2376001.0,4156937.0,887198.0,15675422.0
1973,209851000.0,19632.0,51370.0,383997.0,420715.0,7849847.0,2565776.0,4355102.0,928969.0,16575408.0
1974,211392000.0,20711.0,55366.0,442124.0,456103.0,9278087.0,3039101.0,5261950.0,977036.0,19530478.0
1975,213124000.0,20505.0,56045.0,469773.0,492499.0,10251967.0,3265271.0,5977106.0,1009590.0,21542756.0
1976,214658000.0,18784.0,57046.0,427589.0,500409.0,10344753.0,3108665.0,6270139.0,965949.0,21693334.0
1977,216330000.0,19121.0,63478.0,412444.0,534248.0,9964323.0,3081483.0,5905163.0,977677.0,20957937.0
1978,218065000.0,19555.0,67565.0,426708.0,571335.0,10122719.0,3128223.0,5990389.0,1004107.0,21330601.0
1979,220097000.0,21456.0,76360.0,480499.0,629338.0,11040763.0,3327712.0,6600307.0,1112744.0,23289179.0
1980,225389264.0,23044.0,82946.0,565616.0,672447.0,12062840.0,3795130.0,7136056.0,1131654.0,25469733.0
1981,229146000.0,22516.0,82446.0,592629.0,663648.0,12060886.0,3779610.0,7193495.0,1087781.0,25483011.0
1982,231535000.0,21012.0,78726.0,552839.0,669319.0,11651261.0,3447087.0,7141839.0,1062335.0,24624418.0
1983,233980000.0,19308.0,78891.0,506316.0,653136.0,10849862.0,3129807.0,6712144.0,1007911.0,22957375.0
1984,236161000.0,18689.0,84202.0,484776.0,685127.0,10607670.0,2984381.0,6591179.0,1032110.0,22488134.0
1985,238739000.0,18976.0,88669.0,497868.0,723244.0,11102550.0,3073345.0,6926343.0,1102862.0,23533857.0
1986,241058000.0,20613.0,91459.0,542775.0,834322.0,11722700.0,3241410.0,7257153.0,1224137.0,24934569.0
1987,243399000.0,20096.0,91111.0,517704.0,855088.0,12024709.0,3236184.0,7499851.0,1288674.0,25533417.0
1988,245810000.0,20675.0,92486.0,542968.0,910092.0,12356865.0,3218077.0,7705872.0,1432916.0,26279951.0
1989,248243000.0,21500.0,94504.0,578326.0,951707.0,12605412.0,3168170.0,7872442.0,1564800.0,26856861.0
1990,248709873.0,23438.0,102555.0,639271.0,1054863.0,12655486.0,3073909.0,7945670.0,1635907.0,27131099.0
1991,252181000.0,24703.0,106593.0,687732.0,1092739.0,12961116.0,3157150.0,8142228.0,1661738.0,27833999.0
1992,255081000.0,23760.0,109062.0,672478.0,1126974.0,12505917.0,2979884.0,7915199.0,1610834.0,26944108.0
1993,257904000.0,24526.0,106014.0,659870.0,1135607.0,12218777.0,2834808.0,7820909.0,1563060.0,26363571.0
1994,260341000.0,23326.0,102216.0,618949.0,1113179.0,12131873.0,2712774.0,7879812.0,1539287.0,26121416.0
1995,262754000.0,21606.0,97470.0,580509.0,1099207.0,12063935.0,2593784.0,7997710.0,1472441.0,25926662.0
1996,265284000.0,19645.0,96252.0,535594.0,1037049.0,11805323.0,2506400.0,7904685.0,1394238.0,25299186.0
1997,267637000.0,18211.0,96153.0,498534.0,1023201.0,11558475.0,2461026.0,7743760.0,1354189.0,24753549.0
