Primary Type,Date,Count
ARSON,2003-05-31 00:00:00,53
ARSON,2003-06-30 00:00:00,86
ARSON,2003-07-31 00:00:00,84
ARSON,2003-08-31 00:00:00,87
ARSON,2003-09-30 00:00:00,92
ARSON,2003-10-31 00:00:00,89
ARSON,2003-11-30 00:00:00,83
ARSON,2003-12-31 00:00:00,74
ARSON,2004-01-31 00:00:00,73
ARSON,2004-02-29 00:00:00,70
ARSON,2004-03-31 00:00:00,67
ARSON,2004-04-30 00:00:00,57
ARSON,2004-05-31 00:00:00,67
ARSON,2004-06-30 00:00:00,68
ARSON,2004-07-31 00:00:00,87
ARSON,2004-08-31 00:00:00,63
ARSON,2004-09-30 00:00:00,61
ARSON,2004-10-31 00:00:00,53
ARSON,2004-11-30 00:00:00,61
ARSON,2004-12-31 00:00:00,51
ARSON,2005-01-31 00:00:00,37
ARSON,2005-02-28 00:00:00,44
ARSON,2005-03-31 00:00:00,66
ARSON,2005-04-30 00:00:00,67
ARSON,2005-05-31 00:00:00,53
ARSON,2005-06-30 00:00:00,68
ARSON,2005-07-31 00:00:00,82
ARSON,2005-08-31 00:00:00,66
ARSON,2005-09-30 00:00:00,61
ARSON,2005-10-31 00:00:00,50
ARSON,2005-11-30 00:00:00,60
ARSON,2005-12-31 00:00:00,37
ARSON,2006-01-31 00:00:00,46
ARSON,2006-02-28 00:00:00,45
ARSON,2006-03-31 00:00:00,65
ARSON,2006-04-30 00:00:00,63
ARSON,2006-05-31 00:00:00,65
ARSON,2006-06-30 00:00:00,76
ARSON,2006-07-31 00:00:00,70
ARSON,2006-08-31 00:00:00,53
ARSON,2006-09-30 00:00:00,61
ARSON,2006-10-31 00:00:00,53
ARSON,2006-11-30 00:00:00,71
ARSON,2006-12-31 00:00:00,58
ARSON,2007-01-31 00:00:00,51
ARSON,2007-02-28 00:00:00,26
ARSON,2007-03-31 00:00:00,72
ARSON,2007-04-30 00:00:00,52
ARSON,2007-05-31 00:00:00,70
ARSON,2007-06-30 00:00:00,82
ARSON,2007-07-31 00:00:00,86
ARSON,2007-08-31 00:00:00,53
ARSON,2007-09-30 00:00:00,60
ARSON,2007-10-31 00:00:00,54
ARSON,2007-11-30 00:00:00,58
ARSON,2007-12-31 00:00:00,48
ARSON,2008-01-31 00:00:00,42
ARSON,2008-02-29 00:00:00,39
