Primary Type,Date,Count
ARSON,2003-12-31 00:00:00,648
ARSON,2004-12-31 00:00:00,778
ARSON,2005-12-31 00:00:00,691
ARSON,2006-12-31 00:00:00,726
ARSON,2007-12-31 00:00:00,712
ARSON,2008-12-31 00:00:00,644
ARSON,2009-12-31 00:00:00,616
ARSON,2010-12-31 00:00:00,522
ARSON,2011-12-31 00:00:00,504
ARSON,2012-12-31 00:00:00,469
ARSON,2013-12-31 00:00:00,364
ARSON,2014-12-31 00:00:00,382
ASSAULT,2003-12-31 00:00:00,19402
ASSAULT,2004-12-31 00:00:00,28850
ASSAULT,2005-12-31 00:00:00,27065
ASSAULT,2006-12-31 00:00:00,25944
ASSAULT,2007-12-31 00:00:00,26314
ASSAULT,2008-12-31 00:00:00,25446
ASSAULT,2009-12-31 00:00:00,22860
ASSAULT,2010-12-31 00:00:00,21534
ASSAULT,2011-12-31 00:00:00,20407
ASSAULT,2012-12-31 00:00:00,19897
ASSAULT,2013-12-31 00:00:00,17966
ASSAULT,2014-12-31 00:00:00,16143
BATTERY,2003-12-31 00:00:00,58026
BATTERY,2004-12-31 00:00:00,87133
BATTERY,2005-12-31 00:00:00,83963
BATTERY,2006-12-31 00:00:00,80663
BATTERY,2007-12-31 00:00:00,79589
BATTERY,2008-12-31 00:00:00,75913
BATTERY,2009-12-31 00:00:00,68458
BATTERY,2010-12-31 00:00:00,65393
BATTERY,2011-12-31 00:00:00,60452
BATTERY,2012-12-31 00:00:00,59126
BATTERY,2013-12-31 00:00:00,53990
BATTERY,2014-12-31 00:00:00,47129
BURGLARY,2003-12-31 00:00:00,16763
BURGLARY,2004-12-31 00:00:00,24564
BURGLARY,2005-12-31 00:00:00,25504
BURGLARY,2006-12-31 00:00:00,24324
BURGLARY,2007-12-31 00:00:00,24858
BURGLARY,2008-12-31 00:00:00,26217
BURGLARY,2009-12-31 00:00:00,26764
BURGLARY,2010-12-31 00:00:00,26422
BURGLARY,2011-12-31 00:00:00,26616
BURGLARY,2012-12-31 00:00:00,22839
BURGLARY,2013-12-31 00:00:00,17889
BURGLARY,2014-12-31 00:00:00,13686
CONCEALED CARRY LICENSE VIOLATION,2014-12-31 00:00:00,14
CRIM SEXUAL ASSAULT,2003-12-31 00:00:00,1031
